Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
21883,8.2,328,7,11,12,1,0,1,0,21,2,-2712,0
24595,8.6,363,12,8,7,5,0,0,1,15,3,2712,1
23451,8.6,278,11,5,10,6,1,0,1,16,0,527,0
22924,8.6,348,10,8,11,2,0,2,0,18,3,-527,1
19323,8.6,338,3,0,7,1,0,0,1,17,2,-3921,0
23244,9.0,392,7,5,3,5,0,0,0,20,0,3921,1
27675,8.8,365,14,14,11,11,1,0,1,19,1,4678,1
22997,8.4,304,11,9,14,4,0,2,0,17,3,-4678,0
22393,8.0,275,10,9,9,5,0,1,1,19,5,-386,0
22779,8.4,364,9,3,10,3,0,1,0,15,2,386,1
24609,8.6,337,14,9,12,3,0,1,0,16,4,169,1
24440,8.6,347,12,8,14,4,0,0,1,20,4,-169,0
21477,8.2,290,10,9,16,1,0,1,0,16,2,-4596,0
26073,9.0,360,16,12,10,1,0,0,1,19,2,4596,1
25254,9.0,326,16,11,4,3,1,2,0,19,2,5578,1
19676,8.0,258,4,2,16,3,0,0,1,13,1,-5578,0
22314,8.6,366,6,8,10,2,0,1,0,18,4,-139,0
22453,8.8,352,10,5,6,0,0,0,0,18,5,139,1
22765,8.6,326,8,4,10,5,0,2,1,19,1,1484,1
21281,8.6,294,10,10,8,1,0,0,0,14,5,-1484,0
29382,8.8,308,23,29,4,5,1,1,1,17,2,10502,1
18880,7.8,272,4,4,23,0,0,1,0,17,1,-10502,0
21879,8.2,324,9,8,6,3,0,0,0,9,0,471,0
21408,8.8,357,6,4,9,1,0,0,1,18,3,-471,1
24044,8.4,339,13,9,6,3,0,1,1,18,4,2305,0
21739,8.4,360,6,2,13,4,0,0,0,17,3,-2305,1
25398,8.6,390,10,9,10,6,1,1,1,12,1,3501,1
21897,8.8,337,10,7,10,1,0,1,0,17,4,-3501,0
25633,9.0,360,13,10,16,4,1,1,1,17,3,383,0
25250,8.6,287,16,13,13,2,0,0,0,21,1,-383,1
21670,8.4,331,7,3,6,3,1,1,0,14,1,-387,0
22057,8.8,356,6,6,7,3,0,0,1,14,1,387,1
27936,8.8,369,14,11,12,9,1,0,1,22,3,4464,1
23472,8.6,335,12,11,14,1,0,1,0,17,3,-4464,0
23677,8.6,318,10,7,18,4,0,0,1,18,2,-2510,0
26187,8.8,325,18,14,10,4,0,1,0,18,5,2510,1
21699,8.6,313,10,6,4,4,0,1,0,19,2,2257,1
19442,7.8,246,4,2,10,7,0,0,1,21,3,-2257,0
22170,8.4,308,12,15,3,2,0,1,0,17,2,2215,1
19955,8.0,309,3,3,12,3,0,0,1,18,5,-2215,0
22886,8.8,313,12,11,6,1,0,1,0,22,2,2059,0
20827,8.8,322,6,3,12,3,0,0,1,17,4,-2059,1
26936,8.4,347,17,15,11,5,0,0,1,17,2,4052,1
22884,8.4,327,11,8,17,0,0,2,0,21,1,-4052,0
22083,8.8,324,6,5,12,7,1,0,0,20,1,-1275,1
23358,8.8,325,12,14,6,5,0,1,1,15,1,1275,0
21811,7.8,331,7,5,13,6,1,0,0,12,2,-2061,0
23872,8.4,291,13,12,7,2,0,0,0,19,4,2061,1
21513,8.4,342,7,4,11,3,0,0,0,19,3,-1044,0
22557,8.2,318,11,10,7,3,0,1,0,16,5,1044,1
22182,8.6,367,6,4,4,3,0,0,1,17,2,2098,1
20084,8.6,371,4,4,6,1,0,1,0,13,4,-2098,0
21099,7.6,272,8,9,10,3,0,0,1,24,5,-855,1
21954,8.2,293,10,9,8,1,0,1,0,21,1,855,0
19841,8.0,287,7,5,15,2,0,0,0,15,3,-8129,0
27970,8.4,312,15,12,7,7,2,1,1,22,1,8129,1
22740,8.4,272,10,8,17,4,1,0,0,18,1,-6338,0
29078,9.0,376,17,13,10,8,2,2,1,17,5,6338,1
21694,8.8,349,6,3,11,1,0,0,0,15,1,-4700,0
26394,8.6,394,11,7,6,9,1,2,1,20,1,4700,1
20266,8.2,300,6,7,14,1,0,0,0,19,0,-6010,0
26276,8.8,365,14,14,6,4,1,1,1,20,5,6010,1
22096,9.0,356,6,2,4,4,0,0,1,19,3,2737,1
19359,8.4,330,4,4,6,0,0,0,0,14,1,-2737,0
22494,8.8,332,8,6,6,6,0,1,0,15,3,2770,1
19724,8.2,306,6,3,8,1,0,0,0,13,0,-2770,0
18343,8.0,255,4,2,12,0,0,0,0,15,1,-7680,0
26023,9.0,381,12,5,4,5,2,1,1,21,4,7680,1
22535,8.6,343,9,10,6,1,0,1,0,17,2,85,0
22450,8.4,365,6,7,9,5,0,0,0,20,4,-85,1
28028,8.6,306,18,22,9,6,1,0,0,17,1,6979,1
21049,8.0,289,9,5,18,2,0,1,1,11,2,-6979,0
24060,8.4,319,14,10,8,5,0,1,0,20,3,1846,1
22214,8.2,267,8,3,14,3,1,0,0,18,2,-1846,0
21345,8.6,334,5,3,9,5,1,0,0,20,0,-337,0
21682,8.4,315,9,9,5,3,0,1,1,14,0,337,1
24051,8.8,313,13,13,11,3,0,1,0,13,6,701,1
23350,8.6,346,11,9,13,5,0,0,1,18,1,-701,0
23666,8.6,358,10,10,3,6,1,2,1,13,5,4918,1
18748,8.2,322,3,3,10,2,0,0,0,15,2,-4918,0
20511,8.6,313,7,4,6,2,0,0,0,18,2,-1117,1
21628,8.6,335,6,3,7,3,0,0,1,16,1,1117,0
24083,8.6,321,14,15,12,2,0,1,0,16,3,2077,1
22006,8.6,283,12,8,14,1,0,0,0,17,1,-2077,0
25772,8.4,308,18,11,8,7,1,1,1,15,4,6504,1
19268,6.2,219,8,5,18,1,0,0,0,15,0,-6504,0
19580,8.4,302,5,9,8,1,0,0,0,17,1,-2103,0
21683,8.2,338,8,7,5,1,0,1,1,22,2,2103,1
18362,8.4,328,2,1,10,2,0,1,0,18,1,-5908,0
24270,8.6,309,10,10,2,7,1,0,1,15,4,5908,1
24552,8.8,327,15,4,10,6,1,0,0,12,0,1979,0
22573,8.6,278,10,6,15,3,1,1,1,12,1,-1979,1
27431,9.0,353,17,12,9,7,2,0,1,19,2,7327,1
20104,7.8,251,9,8,17,3,0,1,0,17,5,-7327,0
22055,8.6,340,8,12,4,2,0,0,0,14,1,1740,0
20315,8.6,364,4,2,8,3,0,2,0,23,3,-1740,1
25095,9.0,347,16,10,5,4,0,1,1,18,0,5022,1
20073,8.4,318,5,6,16,2,0,0,0,18,4,-5022,0
22913,8.8,301,13,8,9,3,0,0,0,20,0,567,0
22346,8.4,319,9,9,13,2,0,1,0,24,1,-567,1
22520,8.6,342,10,5,5,4,1,1,1,14,2,1317,1
21203,8.6,349,5,4,10,1,0,0,0,25,1,-1317,0
23214,8.8,298,13,7,11,5,0,0,0,13,1,2139,0
21075,8.6,279,11,6,13,2,0,1,0,21,2,-2139,1
27045,8.2,282,19,15,11,7,1,1,1,15,1,3443,1
23602,8.0,277,11,9,19,3,0,0,0,11,2,-3443,0
20545,8.4,269,9,5,15,1,0,1,1,25,0,-3092,0
23637,8.8,323,15,7,9,4,0,0,0,18,1,3092,1
19886,8.4,280,9,4,9,2,0,0,0,20,3,-3546,0
23432,8.8,314,9,7,9,4,1,2,1,20,6,3546,1
23194,8.8,346,8,5,7,4,0,1,1,23,2,1053,1
22141,9.0,344,7,3,8,3,0,0,0,22,2,-1053,0
22111,8.8,321,9,7,10,1,0,1,0,21,2,-1005,1
23116,8.6,336,10,6,9,3,0,0,0,21,0,1005,0
22428,8.2,307,6,4,7,3,2,0,0,18,2,1448,1
20980,8.4,316,7,4,6,4,0,1,1,19,1,-1448,0
25818,8.4,307,16,18,14,5,0,0,1,18,2,2435,1
23383,8.8,271,14,14,16,1,0,1,0,14,1,-2435,0
24095,9.2,345,13,10,6,3,0,2,1,23,2,4264,1
19831,8.6,283,6,3,13,1,0,0,0,20,2,-4264,0
23586,8.8,402,9,6,4,3,0,0,1,18,1,5277,1
18309,8.4,266,4,0,9,1,0,1,0,20,3,-5277,0
22041,8.4,360,7,5,4,2,1,0,0,16,2,2774,1
19267,8.4,314,4,3,7,1,0,0,1,13,1,-2774,0
